"Dist Code","Year","State Code","State Name","Dist Name","TOTAL AREA (1000 ha)","FOREST AREA (1000 ha)","BARREN AND UNCULTIVABLE LAND AREA (1000 ha)","LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha)","CULTIVABLE WASTE LAND AREA (1000 ha)","PERMANENT PASTURES AREA (1000 ha)","OTHER FALLOW AREA (1000 ha)","CURRENT FALLOW AREA (1000 ha)","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)","CROPING INTENSITY (Percent)"
"66","2006","5","Karnataka","Tumkur","1064.76","45.18","67.54","84.2","62.64","76.45","34.17","165.52","508.03","539.54","106.2"
"66","2007","5","Karnataka","Tumkur","1064.76","45.18","67.54","84.24","62.64","76.45","30.09","69.38","608.19","664.31","109.2"
"66","2008","5","Karnataka","Tumkur","1064.76","45.18","67.54","84.28","62.64","76.45","28.86","63.7","615.07","684.42","111.3"
"66","2009","5","Karnataka","Tumkur","1064.76","45.18","67.54","84.44","62.64","76.45","31.26","112.79","563.42","624.38","110.8"
"66","2010","5","Karnataka","Tumkur","1064.76","45.18","67.54","84.5","62.64","76.45","31.54","116.91","558.95","631.74","113.0"
"66","2011","5","Karnataka","Tumkur","1064.76","45.18","67.54","84.96","62.64","76.45","29.68","167.73","509.54","575.96","113.0"
"66","2012","5","Karnataka","Tumkur","1064.76","45.18","67.54","85.28","62.64","76.45","24.34","192.39","489.9","556.95","113.7"
"66","2013","5","Karnataka","Tumkur","1064.76","45.18","67.54","85.38","62.64","76.45","23.87","205.59","477.07","543.43","113.9"
"66","2014","5","Karnataka","Tumkur","1064.76","45.18","67.54","85.47","62.64","76.45","23.69","162.55","520.2","599.56","115.3"
"66","2015","5","Karnataka","Tumkur","1064.76","45.18","67.54","89.94","62.64","76.45","23.73","192.48","485.76","558.13","114.9"
"66","2016","5","Karnataka","Tumkur","1064.76","45.18","67.54","90.06","62.64","76.45","23.71","209.82","468.32","538.52","115.0"
"66","2017","5","Karnataka","Tumkur","1064.76","45.18","67.54","90.11","62.64","76.45","23.61","211.4","466.79","541.66","116.0"
"67","2000","5","Karnataka","Mysore","676.0","63.0","46.0","67.0","21.0","56.0","9.0","21.0","387.0","466.0","120.4"
"67","2001","5","Karnataka","Mysore","676.38","62.85","45.81","66.93","21.46","55.26","10.32","15.95","390.94","494.75","126.6"
"67","2002","5","Karnataka","Mysore","676.38","62.85","45.81","66.93","21.46","55.26","57.26","17.2","342.74","443.82","129.5"
"67","2003","5","Karnataka","Mysore","676.38","62.85","45.81","66.93","21.46","55.26","58.63","34.23","324.8","448.27","138.0"
"67","2004","5","Karnataka","Mysore","676.38","62.85","45.81","66.93","21.46","55.26","57.36","17.45","342.85","555.15","161.9"
"67","2005","5","Karnataka","Mysore","676.38","62.85","45.81","67.01","21.46","55.26","36.67","35.82","345.09","569.78","165.1"
"67","2006","5","Karnataka","Mysore","676.38","62.85","45.81","67.03","21.46","55.26","35.82","35.02","346.5","555.84","160.4"
"67","2007","5","Karnataka","Mysore","676.38","62.85","45.81","67.03","21.46","55.26","40.08","35.72","341.31","579.74","169.9"
"67","2008","5","Karnataka","Mysore","676.38","62.85","45.81","67.03","21.46","55.26","41.86","37.05","338.19","523.52","154.8"
"67","2009","5","Karnataka","Mysore","676.38","62.85","45.81","74.71","21.43","47.09","34.85","31.96","351.82","556.72","158.2"
"67","2010","5","Karnataka","Mysore","676.38","62.85","45.02","75.76","21.41","46.81","37.62","43.09","337.97","548.61","162.3"
"67","2011","5","Karnataka","Mysore","676.38","62.85","45.02","75.95","21.41","46.81","34.46","39.12","344.91","536.32","155.5"
"67","2012","5","Karnataka","Mysore","676.38","62.85","45.02","75.95","20.67","46.81","41.06","44.28","333.88","479.22","143.5"
"67","2013","5","Karnataka","Mysore","676.38","62.85","45.02","75.95","20.67","44.81","33.13","21.65","367.44","522.49","142.2"
"67","2014","5","Karnataka","Mysore","676.38","62.85","45.02","75.21","21.41","46.81","24.06","22.85","372.31","486.52","130.7"
"67","2015","5","Karnataka","Mysore","676.38","62.85","45.02","75.21","21.41","46.81","23.52","22.62","373.09","490.61","131.5"
"67","2016","5","Karnataka","Mysore","676.38","62.85","45.02","75.28","21.41","46.81","48.06","76.09","295.0","368.52","124.9"
"67","2017","5","Karnataka","Mysore","676.38","62.85","45.02","75.28","21.41","46.81","20.5","25.11","373.55","487.06","130.4"
"68","2000","5","Karnataka","Mandya","498.0","25.0","22.0","61.0","42.0","38.0","21.0","39.0","247.0","284.0","115.0"
"68","2001","5","Karnataka","Mandya","498.24","24.77","21.55","60.82","41.96","38.19","23.01","37.71","247.08","286.36","115.9"
"68","2002","5","Karnataka","Mandya","498.24","24.77","21.54","60.83","41.96","38.18","22.82","103.59","181.41","215.79","119.0"
"68","2003","5","Karnataka","Mandya","498.24","24.77","21.53","60.84","41.96","38.19","21.12","76.65","210.02","247.16","117.7"
"68","2004","5","Karnataka","Mandya","498.24","24.77","21.53","60.89","41.96","38.19","18.93","37.81","250.99","302.02","120.3"
"68","2005","5","Karnataka","Mandya","498.24","24.77","21.52","60.91","41.96","38.05","34.38","42.15","231.2","281.27","121.7"
"68","2006","5","Karnataka","Mandya","498.24","24.77","21.52","60.91","41.96","38.05","35.87","46.75","225.05","262.93","116.8"
"68","2007","5","Karnataka","Mandya","498.24","24.77","21.52","60.91","41.96","38.05","43.0","30.72","233.95","283.93","121.4"
"68","2008","5","Karnataka","Mandya","498.24","24.77","21.52","60.91","41.96","32.05","37.92","22.42","253.32","303.57","119.8"
