iter	Logloss
0	0.6242075198
1	0.5659707511
2	0.5173211394
3	0.4760609151
4	0.441215916
5	0.4120616408
6	0.3866864704
7	0.3633331154
8	0.344539041
9	0.3272170755
10	0.3138179588
11	0.3022787985
12	0.2908107198
13	0.2809539162
14	0.273239728
15	0.2660448961
16	0.2593948763
17	0.2526903643
18	0.2471416395
19	0.2425013912
20	0.2382938869
21	0.2327490081
22	0.2295108178
23	0.2254140658
24	0.2219861687
25	0.2187462539
26	0.2156805266
27	0.21343439
28	0.2111771138
29	0.2091999083
30	0.2064962681
31	0.2048378252
32	0.2025492945
33	0.2013101739
34	0.199831157
35	0.1983132733
36	0.1970521163
37	0.1952699925
38	0.1938040074
39	0.1926797653
40	0.1914226913
41	0.1902691564
42	0.1891611786
43	0.1877920036
44	0.1865450593
45	0.1851765093
46	0.1842227538
47	0.1832619777
48	0.1820358808
49	0.1811387687
50	0.1805154172
51	0.1795841179
52	0.1786857454
53	0.1780069159
54	0.1775947747
55	0.1767941056
56	0.1762831377
57	0.1755462816
58	0.1748556275
59	0.1745049287
60	0.1736304026
61	0.1729392515
62	0.1723926285
63	0.17137983
64	0.1708489845
65	0.1703194485
66	0.1698847102
67	0.1693347101
68	0.1687671022
69	0.1683856593
70	0.1681765337
71	0.1673592216
72	0.1668527983
73	0.1665395427
74	0.1660481007
75	0.1656658121
76	0.1648401321
77	0.1644669424
78	0.1639883752
79	0.1636659384
80	0.1632198214
81	0.1629515534
82	0.1625688452
83	0.1619920382
84	0.1616300993
85	0.1611147702
86	0.1606003349
87	0.1601177363
88	0.1597149669
89	0.1590766145
90	0.1586053442
91	0.1581910977
92	0.1577188166
93	0.1573350078
94	0.1569858491
95	0.1564925663
96	0.1561490645
97	0.1557335826
98	0.1554314679
99	0.1550277269
100	0.1547308857
101	0.1542737761
102	0.1539223116
103	0.1533198427
104	0.1530132587
105	0.1525028814
106	0.1520692212
107	0.1518087212
108	0.1513029112
109	0.1511468547
110	0.1508029633
111	0.1503897712
112	0.1500548156
113	0.1497307972
114	0.1493708992
115	0.1490378252
116	0.1489223258
117	0.1487638688
118	0.1484654429
119	0.1480635137
120	0.1477900976
121	0.1474609151
122	0.1471314113
123	0.146909548
124	0.1466657381
125	0.1464769232
126	0.1461793873
127	0.1458867081
128	0.1454823166
129	0.1451075114
130	0.1448185989
131	0.144458834
132	0.1443088851
133	0.1439832835
134	0.143778802
135	0.1435024472
136	0.1432356752
137	0.1429733847
138	0.1427442366
139	0.142530049
140	0.142316212
141	0.1419306976
142	0.141775096
143	0.1415392702
144	0.1413634031
145	0.1411150371
146	0.1408779781
147	0.140619534
148	0.1403210033
149	0.1401133319
150	0.139879228
151	0.1395754373
152	0.1393744082
153	0.13897439
154	0.1387396048
155	0.1385540818
156	0.1383201641
157	0.1380281002
158	0.1378593875
159	0.1376179089
160	0.1374401242
161	0.1371488836
162	0.1369828864
163	0.136704975
164	0.1363716422
165	0.1360115659
166	0.1357872295
167	0.1355047233
168	0.1351836348
169	0.1350202517
170	0.1348167114
171	0.1346126356
172	0.1343317673
173	0.1341504904
174	0.1337069661
175	0.1334257144
176	0.1331399207
177	0.1330232124
178	0.132808817
179	0.1326161983
180	0.1323692376
181	0.1321731874
182	0.1318175326
183	0.1315825275
184	0.1314960564
185	0.1312101895
186	0.1310107816
187	0.1307168267
188	0.1304982476
189	0.1304173292
190	0.1301893745
191	0.1299566773
192	0.1297369339
193	0.129588522
194	0.1293250386
195	0.1292128185
196	0.1290659327
197	0.1288630456
198	0.1284408037
199	0.1281375955
200	0.1279263395
201	0.1277379115
202	0.12754643
203	0.1273716303
204	0.127170892
205	0.1268157332
206	0.1265801018
207	0.1261733844
208	0.1259902929
209	0.1257244961
210	0.1253556516
211	0.1251120119
212	0.1248978723
213	0.12471097
214	0.1244731646
215	0.1243297149
216	0.1242422828
217	0.1239652147
218	0.1238174017
219	0.1235904126
220	0.1233477067
221	0.1231782931
222	0.1229480842
223	0.1228000401
224	0.1224920699
225	0.1222340413
226	0.1219917233
227	0.1218679751
228	0.1217375457
229	0.1215181065
230	0.1212561526
231	0.121123879
232	0.1209120789
233	0.1206391122
234	0.1204164019
235	0.1202002771
236	0.1199538076
237	0.1198823456
238	0.1195956503
239	0.1193845439
240	0.1192456351
241	0.1191655595
242	0.1190430238
243	0.1188846222
244	0.118658416
245	0.1184731925
246	0.1183670266
247	0.1182447742
248	0.118054033
249	0.1179687384
250	0.11779802
251	0.1176712013
252	0.1173870358
253	0.1172147706
254	0.1170098933
255	0.1168588954
256	0.1167388587
257	0.1165884944
258	0.1164026502
259	0.1162091596
260	0.1160260152
261	0.1157941463
262	0.1155901914
263	0.1153450593
264	0.1151975502
265	0.1151432848
266	0.1150465831
267	0.1148988571
268	0.1147053161
269	0.1145210661
270	0.114335814
271	0.1142238992
272	0.1141157381
273	0.1139354477
274	0.1137784961
275	0.1135942836
276	0.1133818771
277	0.113267371
278	0.1131315083
279	0.1129724954
280	0.1127842287
281	0.1125952879
282	0.1123828771
283	0.1122627931
284	0.1121666837
285	0.1120141317
286	0.1118324705
287	0.1116490445
288	0.1115180026
289	0.1113311777
290	0.1112889825
291	0.1111462736
292	0.1110059887
293	0.1108626665
294	0.1107513763
295	0.1104954821
296	0.1103678458
297	0.1102908531
298	0.110117124
299	0.1099978152
300	0.1098870914
301	0.1098181183
302	0.1097548849
303	0.10960918
304	0.109483691
305	0.1093006849
306	0.1091476921
307	0.1090829283
308	0.1089241577
309	0.1088104283
310	0.1085829762
311	0.1083719623
312	0.1083178538
313	0.1081861035
314	0.1080029571
315	0.1078139733
316	0.1077213574
317	0.1075732958
318	0.1074337209
319	0.1073724394
320	0.1071531483
321	0.1069724156
322	0.1069245408
323	0.1067410668
324	0.106589327
325	0.1064286242
326	0.1063435094
327	0.1061872533
328	0.1060127372
329	0.1059660421
330	0.1058788723
331	0.1057381577
332	0.1055388197
333	0.1053887699
334	0.1052527397
335	0.1051384627
