iter	Accuracy	MultiClass
200	0.99	0.2645518313
201	0.9914285714	0.2637737635
202	0.9914285714	0.2629325393
203	0.9914285714	0.2620598765
204	0.9914285714	0.2612870536
205	0.9914285714	0.260566632
206	0.99	0.259582986
207	0.99	0.258493105
208	0.99	0.2577774839
209	0.9914285714	0.2566726045
210	0.9914285714	0.2557001809
211	0.9914285714	0.253981271
212	0.9914285714	0.2522343052
213	0.9914285714	0.2507114367
214	0.9928571429	0.2494204663
215	0.9928571429	0.2481342576
216	0.9928571429	0.2470726998
217	0.9928571429	0.246174021
218	0.9928571429	0.2451707974
219	0.9928571429	0.2435874033
220	0.9928571429	0.2426132787
221	0.9928571429	0.2411747417
222	0.9928571429	0.2407391738
223	0.9928571429	0.2400981854
224	0.9928571429	0.2383140702
225	0.9928571429	0.2368349114
226	0.9928571429	0.2358648273
227	0.9928571429	0.2345641969
228	0.9928571429	0.2338748732
229	0.9928571429	0.233056221
230	0.9928571429	0.2319563205
231	0.9928571429	0.2308552793
232	0.9928571429	0.2294600848
233	0.9928571429	0.2290463683
234	0.9942857143	0.2281396774
235	0.9928571429	0.2268743958
236	0.9942857143	0.2255827299
237	0.9942857143	0.2250645628
238	0.9942857143	0.2243178139
239	0.9957142857	0.2237604617
240	0.9957142857	0.2227987585
241	0.9957142857	0.221512297
242	0.9957142857	0.220988922
243	0.9957142857	0.2199058102
244	0.9971428571	0.2191623291
245	0.9971428571	0.2182636544
246	0.9971428571	0.2175521838
247	0.9985714286	0.21649299
248	0.9985714286	0.2159081989
249	0.9985714286	0.2145721893
250	0.9985714286	0.2142297126
251	0.9985714286	0.2131558892
252	0.9985714286	0.2123490256
253	0.9985714286	0.2117495588
254	0.9985714286	0.2112667501
255	0.9985714286	0.2103780919
256	0.9985714286	0.209580314
257	0.9985714286	0.2089488115
258	0.9985714286	0.2082527268
259	0.9985714286	0.2072046453
260	0.9985714286	0.2061612008
261	0.9985714286	0.2054299767
262	0.9985714286	0.2043044231
263	0.9985714286	0.2041312908
264	0.9985714286	0.2029434363
265	0.9985714286	0.2026228573
266	0.9985714286	0.2020687271
267	0.9985714286	0.201139318
268	0.9985714286	0.2000351347
269	0.9985714286	0.199119865
270	0.9985714286	0.1983495118
271	0.9985714286	0.1978461667
272	0.9985714286	0.1973323263
273	0.9985714286	0.1970184642
274	0.9985714286	0.1963006684
275	0.9985714286	0.1955946245
276	0.9985714286	0.1946265838
277	0.9985714286	0.1936782671
278	0.9985714286	0.1931177385
279	0.9985714286	0.1923876264
280	0.9985714286	0.1920350036
281	0.9985714286	0.1913742494
282	0.9985714286	0.1900874751
283	0.9985714286	0.1890506896
284	0.9985714286	0.1883771419
285	0.9985714286	0.1879471879
286	0.9985714286	0.1871946836
287	0.9985714286	0.1865792764
288	0.9985714286	0.1855515431
289	0.9985714286	0.1848763751
290	0.9985714286	0.1839885612
291	0.9985714286	0.1832384729
292	0.9985714286	0.1823769126
293	0.9985714286	0.1816486431
294	0.9985714286	0.1809449351
295	0.9985714286	0.180381637
296	0.9985714286	0.1795511357
297	0.9985714286	0.1788394492
298	0.9985714286	0.178094177
299	0.9985714286	0.1776927037
300	0.9985714286	0.1769698707
301	0.9985714286	0.1765945907
302	0.9985714286	0.1758295538
303	0.9985714286	0.1750934837
304	0.9985714286	0.1742367218
305	0.9985714286	0.1733574194
306	0.9985714286	0.1727178904
307	0.9985714286	0.1724992415
308	0.9985714286	0.171739732
309	0.9985714286	0.1711410454
310	0.9985714286	0.1702542581
311	0.9985714286	0.1694042066
312	0.9985714286	0.1683315064
313	0.9985714286	0.1681148557
314	0.9985714286	0.1674895316
315	0.9985714286	0.1666613001
316	0.9985714286	0.1663560918
317	0.9985714286	0.1656876744
318	0.9985714286	0.1649649388
319	0.9985714286	0.1647681349
320	0.9985714286	0.1644409059
321	0.9985714286	0.1635569655
322	0.9985714286	0.1629931635
323	0.9985714286	0.1624741247
324	0.9985714286	0.1619262795
325	0.9985714286	0.161332374
326	0.9985714286	0.1608196155
327	0.9985714286	0.1603494509
328	0.9985714286	0.1597823302
329	0.9985714286	0.1592969271
330	0.9985714286	0.1584861738
331	0.9985714286	0.1578468886
332	0.9985714286	0.1571211831
333	0.9985714286	0.1566737029
334	0.9985714286	0.1560831451
335	0.9985714286	0.1557238743
336	0.9985714286	0.1554971441
337	0.9985714286	0.1551082743
338	0.9985714286	0.154811284
339	0.9985714286	0.1542981411
340	0.9985714286	0.1539070475
341	0.9985714286	0.1531982279
342	0.9985714286	0.1527944501
343	0.9985714286	0.1522569475
344	0.9985714286	0.1516071354
345	0.9985714286	0.1510800956
346	0.9985714286	0.1507567536
347	0.9985714286	0.1499528772
348	0.9985714286	0.1496429111
349	0.9985714286	0.1489692206
350	0.9985714286	0.1487199652
351	0.9985714286	0.1481131442
352	0.9985714286	0.1475873379
353	0.9985714286	0.1472605848
354	0.9985714286	0.1468973785
355	0.9985714286	0.146296203
356	0.9985714286	0.1457405042
357	0.9985714286	0.1452670322
358	0.9985714286	0.1445995217
359	0.9985714286	0.1438197289
360	0.9985714286	0.1433234303
361	0.9985714286	0.142554046
362	0.9985714286	0.1422547292
363	0.9985714286	0.1418240026
364	0.9985714286	0.1414858253
365	0.9985714286	0.1410679736
366	0.9985714286	0.1406707462
367	0.9985714286	0.1401376802
368	0.9985714286	0.1397064677
369	0.9985714286	0.1393997259
370	0.9985714286	0.1389054224
371	0.9985714286	0.1384462164
372	0.9985714286	0.1379632764
373	0.9985714286	0.1375843664
374	0.9985714286	0.1369997057
375	0.9985714286	0.1367875035
376	0.9985714286	0.1364602234
377	0.9985714286	0.1360041331
378	0.9985714286	0.1353909798
379	0.9985714286	0.1348810222
380	0.9985714286	0.1343772204
381	0.9985714286	0.1342252732
382	0.9985714286	0.1338495333
383	0.9985714286	0.133191253
384	0.9985714286	0.1327461166
385	0.9985714286	0.1324546475
386	0.9985714286	0.1319964622
387	0.9985714286	0.1314963182
388	0.9985714286	0.1311877728
389	0.9985714286	0.1307107424
390	0.9985714286	0.1301859604
391	0.9985714286	0.1296956135
392	0.9985714286	0.1294384892
393	0.9985714286	0.1291759922
394	0.9985714286	0.1288563448
395	0.9985714286	0.1284330885
396	0.9985714286	0.1280415162
397	0.9985714286	0.1277146543
398	0.9985714286	0.1273650331
399	0.9985714286	0.1271663301
400	0.9985714286	0.1266308567
401	0.9985714286	0.1264224182
402	0.9985714286	0.1260166555
403	0.9985714286	0.12580752
404	0.9985714286	0.1256011257
405	0.9985714286	0.1253400217
406	0.9985714286	0.1248647247
407	0.9985714286	0.1246808935
408	0.9985714286	0.1243285081
409	0.9985714286	0.1239350879
410	0.9985714286	0.1235579177
411	0.9985714286	0.1232178279
412	0.9985714286	0.1229833432
413	0.9985714286	0.1227864434
414	0.9985714286	0.1224702024
415	0.9985714286	0.1221328025
416	0.9985714286	0.1219438406
417	0.9985714286	0.1215209119
418	0.9985714286	0.1211535058
419	0.9985714286	0.1208602264
420	0.9985714286	0.1204428554
421	0.9985714286	0.1200150446
422	0.9985714286	0.1195411911
423	0.9985714286	0.1191212975
424	0.9985714286	0.1187483478
425	0.9985714286	0.1184627747
426	0.9985714286	0.1182612078
427	0.9985714286	0.117787044
428	0.9985714286	0.1175032283
429	0.9985714286	0.1170596584
430	0.9985714286	0.1167310452
431	0.9985714286	0.1163639577
432	0.9985714286	0.1160686027
433	0.9985714286	0.1157272655
434	0.9985714286	0.1154061056
435	0.9985714286	0.1152051531
436	0.9985714286	0.1147240171
437	0.9985714286	0.1144240253
438	0.9985714286	0.1142292006
439	0.9985714286	0.1139340706
440	0.9985714286	0.1136912063
441	0.9985714286	0.1132206675
442	0.9985714286	0.1127528313
443	0.9985714286	0.1124659443
444	0.9985714286	0.1121744094
445	0.9985714286	0.1117261018
446	0.9985714286	0.1114253591
447	0.9985714286	0.1111083925
448	0.9985714286	0.1107354349
449	0.9985714286	0.1104991205
450	0.9985714286	0.1103118243
451	0.9985714286	0.109998255
452	0.9985714286	0.1096994844
453	0.9985714286	0.1095259405
454	0.9985714286	0.1092185268
455	0.9985714286	0.1088297024
456	0.9985714286	0.1084394614
457	0.9985714286	0.1081898162
458	0.9985714286	0.1080063107
459	0.9985714286	0.1076250869
460	0.9985714286	0.1072357143
461	0.9985714286	0.1069145316
462	0.9985714286	0.1065240316
463	0.9985714286	0.1062664677
464	0.9985714286	0.1061659016
465	0.9985714286	0.1058862894
466	0.9985714286	0.1055397717
467	0.9985714286	0.105398584
468	0.9985714286	0.1052813329
469	0.9985714286	0.1050476194
470	0.9985714286	0.1048806349
471	0.9985714286	0.1045115326
472	0.9985714286	0.1042202655
473	0.9985714286	0.104110589
474	0.9985714286	0.1039145838
475	0.9985714286	0.103551541
476	0.9985714286	0.1032589175
477	0.9985714286	0.1029729792
478	0.9985714286	0.1026804758
479	0.9985714286	0.1023260334
480	0.9985714286	0.1020617405
481	0.9985714286	0.1017278423
482	0.9985714286	0.1015963377
483	0.9985714286	0.1014606816
484	0.9985714286	0.1012637113
485	0.9985714286	0.1010732391
486	0.9985714286	0.1007222398
487	0.9985714286	0.1005722611
488	0.9985714286	0.1002455197
489	0.9985714286	0.09994126441
490	0.9985714286	0.09966991589
491	0.9985714286	0.09948679794
492	0.9985714286	0.09929201958
493	0.9985714286	0.09911710514
494	0.9985714286	0.09892588991
495	0.9985714286	0.09859511197
496	0.9985714286	0.09820969308
497	0.9985714286	0.09797130702
498	0.9985714286	0.0978219662
499	0.9985714286	0.09747998978
500	0.9985714286	0.09724221977
501	0.9985714286	0.09691685336
502	0.9985714286	0.09661318619
503	0.9985714286	0.09652564106
504	0.9985714286	0.09624145641
505	0.9985714286	0.09596463413
506	0.9985714286	0.09587944387
507	0.9985714286	0.09561398954
508	0.9985714286	0.09534185362
509	0.9985714286	0.09503179343
510	0.9985714286	0.09463486256
511	0.9985714286	0.09441716143
512	0.9985714286	0.09425072819
513	0.9985714286	0.09411775965
514	0.9985714286	0.09387432909
515	0.9985714286	0.09360098376
516	0.9985714286	0.09340619261
517	0.9985714286	0.0932374425
518	0.9985714286	0.09304725785
519	0.9985714286	0.09280943688
520	0.9985714286	0.09268702643
521	0.9985714286	0.09252622899
522	0.9985714286	0.09216653189
523	0.9985714286	0.09183664389
524	0.9985714286	0.09165747266
525	0.9985714286	0.09146180645
526	0.9985714286	0.09120973096
527	0.9985714286	0.0909471822
528	0.9985714286	0.09067662974
529	0.9985714286	0.09052095683
530	0.9985714286	0.09033594773
531	0.9985714286	0.09017661123
532	0.9985714286	0.08988438149
533	0.9985714286	0.089774266
534	0.9985714286	0.08957781071
535	0.9985714286	0.08930974129
536	0.9985714286	0.089095247
537	0.9985714286	0.08893081182
538	0.9985714286	0.08867657048
539	0.9985714286	0.08847836883
540	0.9985714286	0.08827892154
541	0.9985714286	0.08799337227
542	0.9985714286	0.08779607807
543	0.9985714286	0.08761111014
544	0.9985714286	0.0874395359
545	0.9985714286	0.08726197479
546	0.9985714286	0.08698661005
547	0.9985714286	0.08679879337
548	0.9985714286	0.0865660912
549	0.9985714286	0.0862605466
550	0.9985714286	0.08617210228
551	0.9985714286	0.08604306064
552	0.9985714286	0.08594243256
553	0.9985714286	0.08569164268
554	0.9985714286	0.08555290752
555	0.9985714286	0.08538001707
556	0.9985714286	0.08519600975
557	0.9985714286	0.08498834191
558	0.9985714286	0.08483753923
559	0.9985714286	0.08462696679
560	0.9985714286	0.08450346908
561	0.9985714286	0.08434041898
562	0.9985714286	0.08406320482
563	0.9985714286	0.08393996038
564	0.9985714286	0.08376052148
565	0.9985714286	0.08360113502
566	0.9985714286	0.08336486398
567	0.9985714286	0.08315928281
568	0.9985714286	0.08306448837
569	0.9985714286	0.0829782709
570	0.9985714286	0.08290064718
571	0.9985714286	0.08280309755
572	0.9985714286	0.08265711419
573	0.9985714286	0.08251526356
574	0.9985714286	0.08236485557
575	0.9985714286	0.08220522565
576	0.9985714286	0.08207577016
577	0.9985714286	0.08193585329
578	0.9985714286	0.08172806695
579	0.9985714286	0.08156258229
580	0.9985714286	0.08138721233
581	0.9985714286	0.08129587098
582	0.9985714286	0.0811976944
583	0.9985714286	0.0810999301
584	0.9985714286	0.08097019256
585	0.9985714286	0.08069623532
586	0.9985714286	0.08050962378
587	0.9985714286	0.08033683497
588	0.9985714286	0.08022548906
589	0.9985714286	0.08004446664
590	0.9985714286	0.07983994144
591	0.9985714286	0.07956487147
592	0.9985714286	0.07939328193
593	0.9985714286	0.07924506918
594	0.9985714286	0.07912767622
595	0.9985714286	0.07905166721
596	0.9985714286	0.0789175544
597	0.9985714286	0.07874916743
598	0.9985714286	0.07842547413
599	0.9985714286	0.0783576514
600	0.9985714286	0.07822721763
601	0.9985714286	0.07795806269
602	0.9985714286	0.07774168667
603	0.9985714286	0.07761736482
604	0.9985714286	0.07740160542
605	0.9985714286	0.0772754216
606	0.9985714286	0.07715988254
607	0.9985714286	0.07697317384
608	0.9985714286	0.07685230688
609	0.9985714286	0.07677111401
610	0.9985714286	0.07666040952
611	0.9985714286	0.07645975574
612	0.9985714286	0.07626542326
613	0.9985714286	0.07622043048
614	0.9985714286	0.07615797803
615	0.9985714286	0.07591335004
616	0.9985714286	0.07577159792
617	0.9985714286	0.07562496816
618	0.9985714286	0.07552016583
619	0.9985714286	0.07541297158
620	0.9985714286	0.07524595684
621	0.9985714286	0.07514533944
622	0.9985714286	0.07500781348
623	0.9985714286	0.07479866734
624	0.9985714286	0.07463246655
625	0.9985714286	0.07443928506
626	0.9985714286	0.07432593199
627	0.9985714286	0.07419702267
628	0.9985714286	0.0740243601
629	0.9985714286	0.07388941437
630	0.9985714286	0.07381166037
631	0.9985714286	0.07366034347
632	0.9985714286	0.07341626794
633	0.9985714286	0.07319868975
634	0.9985714286	0.07299255861
635	0.9985714286	0.07282147014
636	0.9985714286	0.07269215753
637	0.9985714286	0.07253790174
638	0.9985714286	0.07241335074
639	0.9985714286	0.07226806483
640	0.9985714286	0.07215861875
641	0.9985714286	0.07206058786
642	0.9985714286	0.0719792007
643	0.9985714286	0.07185609676
644	0.9985714286	0.07169748938
645	0.9985714286	0.07160949811
646	0.9985714286	0.07149747255
647	0.9985714286	0.07132047969
648	0.9985714286	0.0711886931
649	0.9985714286	0.07101978224
650	0.9985714286	0.07082690226
651	0.9985714286	0.0707823676
652	0.9985714286	0.07072457777
653	0.9985714286	0.07063681788
654	0.9985714286	0.07054041925
655	0.9985714286	0.07029510651
656	0.9985714286	0.07020924788
657	0.9985714286	0.0700503091
658	0.9985714286	0.06984633151
659	0.9985714286	0.06965806367
660	0.9985714286	0.06954824255
661	0.9985714286	0.06937124151
662	0.9985714286	0.06925561403
663	0.9985714286	0.06917127545
664	0.9985714286	0.06900470545
665	0.9985714286	0.06891757595
666	0.9985714286	0.06887406327
667	0.9985714286	0.06873870234
668	0.9985714286	0.06860988367
669	0.9985714286	0.06847823253
670	0.9985714286	0.0684437267
671	0.9985714286	0.06837105855
672	0.9985714286	0.06819664918
673	0.9985714286	0.06808712098
674	0.9985714286	0.06800083473
675	0.9985714286	0.06789025684
676	0.9985714286	0.0677203001
677	0.9985714286	0.06768499031
678	0.9985714286	0.06748553536
679	0.9985714286	0.06737574924
680	0.9985714286	0.06726660452
681	0.9985714286	0.06716343835
682	0.9985714286	0.06704590739
683	0.9985714286	0.06688862816
684	0.9985714286	0.06677329976
685	0.9985714286	0.06666814472
686	0.9985714286	0.06654916014
687	0.9985714286	0.06641941831
688	0.9985714286	0.06628134482
689	0.9985714286	0.06618374529
690	0.9985714286	0.06605319382
691	0.9985714286	0.06598504725
692	0.9985714286	0.06585345742
693	0.9985714286	0.06573960982
694	0.9985714286	0.06561377278
695	0.9985714286	0.06550496335
696	0.9985714286	0.06536881109
697	0.9985714286	0.06525257196
698	0.9985714286	0.06522027276
699	0.9985714286	0.06510976306
700	0.9985714286	0.06498188489
701	0.9985714286	0.06479875381
702	0.9985714286	0.06468915484
703	0.9985714286	0.06458341386
704	0.9985714286	0.06451995995
705	0.9985714286	0.06438223884
706	0.9985714286	0.06429489686
707	0.9985714286	0.06418305515
708	0.9985714286	0.06402128791
709	0.9985714286	0.06394260153
710	0.9985714286	0.06388947123
711	0.9985714286	0.063779119
712	0.9985714286	0.06371442878
713	0.9985714286	0.0636344808
714	0.9985714286	0.06350496766
715	0.9985714286	0.06342275154
716	0.9985714286	0.06333085069
717	0.9985714286	0.06315913038
718	0.9985714286	0.06308790588
719	0.9985714286	0.06289074647
720	0.9985714286	0.06280943728
721	0.9985714286	0.06261231471
722	0.9985714286	0.06252639922
723	0.9985714286	0.06245113454
724	0.9985714286	0.06242982861
725	0.9985714286	0.06228758941
726	0.9985714286	0.06219082598
727	0.9985714286	0.06205388081
728	0.9985714286	0.06195582408
729	0.9985714286	0.06187821551
730	0.9985714286	0.06184359246
731	0.9985714286	0.06177517482
732	0.9985714286	0.06167990993
733	0.9985714286	0.06157176912
734	0.9985714286	0.06149833635
735	0.9985714286	0.06138888856
736	0.9985714286	0.06125813114
737	0.9985714286	0.06106253655
738	0.9985714286	0.06091887934
739	0.9985714286	0.06089414095
740	0.9985714286	0.06086938194
741	0.9985714286	0.06072184048
742	0.9985714286	0.06061628303
743	0.9985714286	0.0605936943
744	0.9985714286	0.06054604556
745	0.9985714286	0.06045003925
746	0.9985714286	0.06027559906
747	0.9985714286	0.0602093761
748	0.9985714286	0.06010920742
749	0.9985714286	0.05997255181
750	0.9985714286	0.05988489667
751	0.9985714286	0.05972617943
752	0.9985714286	0.0596230624
753	0.9985714286	0.05951819846
754	0.9985714286	0.0594748574
755	0.9985714286	0.0594604918
756	0.9985714286	0.05936323615
757	0.9985714286	0.05927031522
758	0.9985714286	0.05920018032
759	0.9985714286	0.05912533869
760	0.9985714286	0.05905347645
761	0.9985714286	0.05895837285
762	0.9985714286	0.05888995853
763	0.9985714286	0.05878033851
764	0.9985714286	0.05869036604
765	0.9985714286	0.05850698528
766	0.9985714286	0.05838338419
767	0.9985714286	0.05828531118
768	0.9985714286	0.05818382055
769	0.9985714286	0.05812334928
770	0.9985714286	0.0580300409
771	0.9985714286	0.05790906506
772	0.9985714286	0.05780316793
773	0.9985714286	0.05770329167
774	0.9985714286	0.05762123568
775	0.9985714286	0.05753552267
776	0.9985714286	0.05742018947
777	0.9985714286	0.0573784859
778	0.9985714286	0.05734462502
779	0.9985714286	0.05729285786
780	0.9985714286	0.05720856887
781	0.9985714286	0.05717163796
782	0.9985714286	0.05705714271
783	0.9985714286	0.05692083622
784	0.9985714286	0.05682351792
785	0.9985714286	0.05669363111
786	0.9985714286	0.0565800733
787	0.9985714286	0.05657308103
788	0.9985714286	0.0564803823
789	0.9985714286	0.05643540625
790	0.9985714286	0.05632971569
791	0.9985714286	0.05622708386
792	0.9985714286	0.05609033778
793	0.9985714286	0.05598919743
794	0.9985714286	0.05586944799
795	0.9985714286	0.05580578372
796	0.9985714286	0.05570016824
797	0.9985714286	0.0556646261
798	0.9985714286	0.05557059175
799	0.9985714286	0.05554499775
800	0.9985714286	0.05548360416
801	0.9985714286	0.05546347435
802	0.9985714286	0.05538677913
803	0.9985714286	0.05531170195
804	0.9985714286	0.05521823182
805	0.9985714286	0.05512558234
806	0.9985714286	0.05501311127
807	0.9985714286	0.05493262372
808	0.9985714286	0.05488652382
809	0.9985714286	0.05471404152
810	0.9985714286	0.05465389725
811	0.9985714286	0.05458856895
812	0.9985714286	0.05453997425
813	0.9985714286	0.05445652603
814	0.9985714286	0.05443204524
815	0.9985714286	0.05439433604
816	0.9985714286	0.05431917986
817	0.9985714286	0.05430034152
818	0.9985714286	0.05425355761
819	0.9985714286	0.05415355273
820	0.9985714286	0.05402730506
821	0.9985714286	0.05393964443
822	0.9985714286	0.05380140099
823	0.9985714286	0.05376772119
824	0.9985714286	0.05371542009
825	0.9985714286	0.05370297955
826	0.9985714286	0.05362129418
827	0.9985714286	0.05353634131
828	0.9985714286	0.05348154619
829	0.9985714286	0.05338142692
830	0.9985714286	0.05335524144
831	0.9985714286	0.053300371
832	0.9985714286	0.05321109171
833	0.9985714286	0.05310835667
834	0.9985714286	0.05293378154
835	0.9985714286	0.05283165599
836	0.9985714286	0.05281900418
837	0.9985714286	0.05279381202
838	0.9985714286	0.05275312182
839	0.9985714286	0.05272277313
840	0.9985714286	0.05262118827
841	0.9985714286	0.05259052788
842	0.9985714286	0.05257829345
843	0.9985714286	0.05255246499
844	0.9985714286	0.05244548756
845	0.9985714286	0.05234809851
846	0.9985714286	0.05227518071
847	0.9985714286	0.05220527166
848	0.9985714286	0.05212712229
849	0.9985714286	0.05206043821
850	0.9985714286	0.05203098858
851	0.9985714286	0.05193845429
852	0.9985714286	0.05180174875
853	0.9985714286	0.05177947717
854	0.9985714286	0.05171118437
855	0.9985714286	0.0515974641
856	0.9985714286	0.05154819399
857	0.9985714286	0.05151008598
858	0.9985714286	0.05145147242
859	0.9985714286	0.05140135116
860	0.9985714286	0.05134231012
861	0.9985714286	0.05128301823
862	0.9985714286	0.05121834151
863	0.9985714286	0.05119179704
864	0.9985714286	0.05115295062
865	0.9985714286	0.05103293368
866	0.9985714286	0.05101690395
867	0.9985714286	0.05098751201
868	0.9985714286	0.05093125156
869	0.9985714286	0.05088338382
870	0.9985714286	0.05081432078
871	0.9985714286	0.05077980865
872	0.9985714286	0.0507291579
873	0.9985714286	0.05068626478
874	0.9985714286	0.05060725801
875	0.9985714286	0.05055470886
876	0.9985714286	0.05051802429
877	0.9985714286	0.05047231745
878	0.9985714286	0.05042305257
879	0.9985714286	0.05032588395
880	0.9985714286	0.05023869572
881	0.9985714286	0.05014618352
882	0.9985714286	0.0500632283
